Date,Flight_Number,Class,Price,Flow Card?,Origin,Destination
2024-07-22,PA010,Economy,2380,Yes,Tokyo,New York
2024-09-28,PA008,Economy,1855,No,Perth,New York
2024-04-20,PA002,Economy,3490,Yes,New York,London
2024-01-23,PA010,Premium Economy,825,Yes,Tokyo,New York
2024-10-01,PA008,Business Class,634.79999999999995,No,Perth,New York
2024-03-04,PA007,Business Class,458.39999999999998,No,New York,Perth
2024-06-05,PA006,First Class,618,Yes,Tokyo,London
2024-02-25,PA010,Premium Economy,1435,No,Tokyo,New York
2024-03-30,PA004,First Class,446,Yes,Perth,London
2024-06-14,PA006,Premium Economy,1062.5,Yes,Tokyo,London
2024-07-15,PA006,First Class,499,Yes,Tokyo,London
2024-02-25,PA004,Premium Economy,827.5,Yes,Perth,London
2024-07-26,PA004,Economy,2245,Yes,Perth,London
2024-03-29,PA004,Economy,2730,No,Perth,London
2024-06-07,PA005,Business Class,294,No,London,Tokyo
2024-06-30,PA009,First Class,236,No,New York,Tokyo
2024-08-12,PA011,Economy,2570,No,Perth,Tokyo
2024-12-10,PA004,Business Class,391.19999999999999,Yes,Perth,London
2024-11-05,PA010,First Class,397,No,Tokyo,New York
2024-09-23,PA005,First Class,626,Yes,London,Tokyo
2024-03-19,PA003,First Class,585,No,London,Perth
2024-02-19,PA011,Premium Economy,630,No,Perth,Tokyo
2024-03-10,PA011,Business Class,556.79999999999995,No,Perth,Tokyo
2024-06-04,PA006,First Class,537,Yes,Tokyo,London
2024-04-16,PA008,First Class,216,Yes,Perth,New York
2024-06-21,PA004,Business Class,646.79999999999995,Yes,Perth,London
2024-12-21,PA006,Business Class,307.19999999999999,No,Tokyo,London
2024-10-20,PA003,Economy,2215,Yes,London,Perth
2024-02-17,PA003,Business Class,784.79999999999995,Yes,London,Perth
2024-12-18,PA002,Premium Economy,917.5,No,New York,London
2024-05-28,PA005,Economy,1505,Yes,London,Tokyo
2024-06-19,PA003,First Class,454,Yes,London,Perth
2024-02-11,PA012,Premium Economy,1142.5,Yes,Tokyo,Perth
2024-01-17,PA006,Business Class,712.79999999999995,Yes,Tokyo,London
2024-06-16,PA012,Business Class,555.60000000000002,No,Tokyo,Perth
2024-03-07,PA006,Business Class,811.19999999999993,No,Tokyo,London
2024-07-29,PA008,Economy,2225,No,Perth,New York
2024-07-04,PA004,Economy,2705,No,Perth,London
2024-04-08,PA003,First Class,525,Yes,London,Perth
2024-04-12,PA007,First Class,696,Yes,New York,Perth
2024-09-03,PA004,Economy,3445,Yes,Perth,London
2024-11-02,PA008,First Class,242,Yes,Perth,New York
2024-01-11,PA002,First Class,406,Yes,New York,London
2024-01-06,PA011,Premium Economy,632.5,No,Perth,Tokyo
2024-08-31,PA012,Premium Economy,1207.5,No,Tokyo,Perth
